Gamma_Values,R_Squared_Values,Coef,intercepts
6.08,0.9779632383872934,[2.39798832e+15],1062035804168331.5
6.09,0.9778601973702642,[2.54824059e+15],1122265551879957.5
6.1000000000000005,0.9777569357160506,[2.70790108e+15],1185893845124035.0
6.11,0.9776534536539059,[2.87755851e+15],1253111328077092.5
6.12,0.9775497514134301,[3.05783847e+15],1324119265428236.5
6.13,0.9774458292245691,[3.24940561e+15],1399130129152245.0
6.140000000000001,0.9773416873176131,[3.4529662e+15],1478368217376469.5
6.15,0.9772373259231953,[3.66927064e+15],1562070307075101.5
6.16,0.977132745272291,[3.89911629e+15],1650486342416616.5
6.17,0.9770279455962162,[4.14335032e+15],1743880160686987.0
6.18,0.9769229271266259,[4.40287292e+15],1842530257813464.0
6.19,0.9768176900955133,[4.67864055e+15],1946730595620904.0
6.2,0.976712234735209,[4.97166945e+15],2056791453065464.0
6.21,0.9766065612783782,[5.28303944e+15],2173040323809371.0
6.22,0.9765006699580212,[5.61389781e+15],2295822862624976.0
6.23,0.9763945610074709,[5.96546361e+15],2425503883247938.0
6.24,0.9762882346603923,[6.33903208e+15],2562468410437150.0
6.25,0.9761816911507804,[6.73597944e+15],2707122789144448.0
6.26,0.9760749307129598,[7.15776795e+15],2859895853849335.0
6.2700000000000005,0.9759679535815831,[7.60595126e+15],3021240161274884.0
6.28,0.9758607599916294,[8.08218015e+15],3191633289869027.0
6.29,0.9757533501784033,[8.58820858e+15],3371579209613474.0
6.3,0.9756457243775335,[9.12590015e+15],3561609725907840.0
6.3100000000000005,0.9755378828249717,[9.69723494e+15],3762286001473204.0
6.32,0.975429825756991,[1.03043168e+16],3974200160424410.0
6.33,0.9753215534101851,[1.0949381e+16],4197976978877214.0
6.34,0.9752130660214667,[1.16348026e+16],4434275666682718.0
6.3500000000000005,0.9751043638280661,[1.23631051e+16],4683791745120840.0
6.36,0.9749954470675302,[1.31369696e+16],4947259025634656.0
6.37,0.9748863159777212,[1.39592449e+16],5225451694951234.0
6.38,0.9747769707968155,[1.48329576e+16],5519186512210222.0
6.390000000000001,0.9746674117633016,[1.57613236e+16],5829325124012650.0
6.4,0.9745576391159801,[1.67477598e+16],6156776503606440.0
6.41,0.9744476530939613,[1.77958965e+16],6502499520745952.0
6.42,0.9743374539366645,[1.89095908e+16],6867505649097900.0
